Go_Term,Name
GO:0005105,type 1 fibroblast growth factor receptor binding
GO:0005111,type 2 fibroblast growth factor receptor binding
GO:0008083,growth factor activity
GO:0001934,positive regulation of protein phosphorylation
GO:0008284,positive regulation of cell population proliferation
GO:0008543,fibroblast growth factor receptor signaling pathway
GO:0009887,animal organ morphogenesis
GO:0010595,positive regulation of endothelial cell migration
GO:0010628,positive regulation of gene expression
GO:0030154,cell differentiation
GO:0030324,lung development
GO:0030334,regulation of cell migration
GO:0042060,wound healing
GO:0045944,positive regulation of transcription by RNA polymerase II
GO:0050679,positive regulation of epithelial cell proliferation
GO:0004721,phosphoprotein phosphatase activity
GO:0004722,protein serine/threonine phosphatase activity
GO:0004725,protein tyrosine phosphatase activity
GO:0008138,protein tyrosine/serine/threonine phosphatase activity
GO:0017018,myosin phosphatase activity
GO:0033549,MAP kinase phosphatase activity
GO:0016311,dephosphorylation
GO:0043409,negative regulation of MAPK cascade
GO:0005113,patched binding
GO:0017147,Wnt-protein binding
GO:0042813,Wnt receptor activity
GO:0007224,smoothened signaling pathway
GO:0007389,pattern specification process
GO:0007417,central nervous system development
GO:0032502,developmental process
GO:0035567,non-canonical Wnt signaling pathway
GO:0060070,canonical Wnt signaling pathway
GO:0071679,commissural neuron axon guidance
GO:0036054,protein-malonyllysine demalonylase activity
GO:0036055,protein-succinyllysine desuccinylase activity
GO:0061697,protein-glutaryllysine deglutarylase activity
GO:0070403,NAD+ binding
GO:0097372,NAD-dependent histone H3K18 deacetylase activity
GO:0000122,negative regulation of transcription by RNA polymerase II
GO:0006338,chromatin remodeling
GO:0000082,G1/S transition of mitotic cell cycle
GO:0000278,mitotic cell cycle
GO:0045505,dynein intermediate chain binding
GO:0007018,microtubule-based movement
GO:0003727,single-stranded RNA binding
GO:0032197,retrotransposition
GO:0003841,1-acylglycerol-3-phosphate O-acyltransferase activity
GO:0016746,acyltransferase activity
GO:0006749,glutathione metabolic process
GO:0043565,sequence-specific DNA binding
GO:0004467,long-chain fatty acid-CoA ligase activity
GO:0016874,ligase activity
GO:0090433,palmitoyl-CoA ligase activity
GO:0001676,long-chain fatty acid metabolic process
GO:0006631,fatty acid metabolic process
GO:0030182,neuron differentiation
GO:0035336,long-chain fatty-acyl-CoA metabolic process
GO:0003924,GTPase activity
GO:0005525,GTP binding
GO:0016192,vesicle-mediated transport
GO:0045717,negative regulation of fatty acid biosynthetic process
GO:0003824,catalytic activity
GO:0004638,phosphoribosylaminoimidazole carboxylase activity
GO:0004639,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
GO:0016831,carboxy-lyase activity
GO:0043727,5-amino-4-imidazole carboxylate lyase activity
GO:0006164,purine nucleotide biosynthetic process
GO:0006189,'de novo' IMP biosynthetic process
GO:0004693,cyclin-dependent protein serine/threonine kinase activity
GO:0016301,kinase activity
GO:0007346,regulation of mitotic cell cycle
GO:0016310,phosphorylation
GO:0016409,palmitoyltransferase activity
GO:0019706,protein-cysteine S-palmitoyltransferase activity
GO:0006612,protein targeting to membrane
GO:0003735,structural constituent of ribosome
GO:0006412,translation
GO:0003676,nucleic acid binding
GO:0000398,"mRNA splicing, via spliceosome"
GO:0005245,voltage-gated calcium channel activity
GO:0016615,malate dehydrogenase activity
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GO:0030060,L-malate dehydrogenase activity
GO:0006099,tricarboxylic acid cycle
GO:0006108,malate metabolic process
GO:0019752,carboxylic acid metabolic process
GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity
GO:0007049,cell cycle
GO:0044772,mitotic cell cycle phase transition
GO:0051301,cell division
GO:1900087,positive regulation of G1/S transition of mitotic cell cycle
GO:0004222,metalloendopeptidase activity
GO:0008233,peptidase activity
GO:0008237,metallopeptidase activity
GO:0008270,zinc ion binding
GO:0006508,proteolysis
GO:0003993,acid phosphatase activity
GO:0016791,phosphatase activity
GO:0005216,monoatomic ion channel activity
GO:0015276,ligand-gated monoatomic ion channel activity
GO:0015277,kainate selective glutamate receptor activity
GO:1904315,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential
GO:0006811,monoatomic ion transport
GO:0034220,monoatomic ion transmembrane transport
GO:0035249,"synaptic transmission, glutamatergic"
GO:0050804,modulation of chemical synaptic transmission
GO:0000976,transcription cis-regulatory region binding
GO:0002376,immune system process
GO:0006355,regulation of DNA-templated transcription
GO:0004301,epoxide hydrolase activity
GO:0016803,ether hydrolase activity
GO:0033961,cis-stilbene-oxide hydrolase activity
GO:0097176,epoxide metabolic process
GO:0009922,fatty acid elongase activity
GO:0006629,lipid metabolic process
GO:0006633,fatty acid biosynthetic process
GO:0019367,"fatty acid elongation, saturated fatty acid"
GO:0030148,sphingolipid biosynthetic process
GO:0034625,"fatty acid elongation, monounsaturated fatty acid"
GO:0034626,"fatty acid elongation, polyunsaturated fatty acid"
GO:0042761,very long-chain fatty acid biosynthetic process
GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0008170,N-methyltransferase activity
GO:0005249,voltage-gated potassium channel activity
GO:0005251,delayed rectifier potassium channel activity
GO:0005267,potassium channel activity
GO:0006813,potassium ion transport
GO:0051260,protein homooligomerization
GO:0055085,transmembrane transport
GO:0071805,potassium ion transmembrane transport
GO:0090729,toxin activity
GO:0035821,modulation of process of another organism
GO:0004653,polypeptide N-acetylgalactosaminyltransferase activity
GO:0016757,glycosyltransferase activity
GO:0006486,protein glycosylation
GO:0006493,protein O-linked glycosylation
GO:0008395,steroid hydroxylase activity
GO:0003682,chromatin binding
GO:0042054,histone methyltransferase activity
GO:0046976,histone H3K27 methyltransferase activity
GO:0140951,histone H3K27 trimethyltransferase activity
GO:0031507,heterochromatin formation
GO:0016887,ATP hydrolysis activity
GO:0031072,heat shock protein binding
GO:0044183,protein folding chaperone
GO:0140662,ATP-dependent protein folding chaperone
GO:0006616,"SRP-dependent cotranslational protein targeting to membrane, translocation"
GO:0042026,protein refolding
GO:0051085,chaperone cofactor-dependent protein refolding
GO:0006457,protein folding
GO:0005509,calcium ion binding
GO:0019003,GDP binding
GO:0044877,protein-containing complex binding
GO:0051117,ATPase binding
GO:0016558,protein import into peroxisome matrix
GO:0045046,protein import into peroxisome membrane
GO:0004888,transmembrane signaling receptor activity
GO:0005230,extracellular ligand-gated monoatomic ion channel activity
GO:0015464,acetylcholine receptor activity
GO:0022848,acetylcholine-gated monoatomic cation-selective channel activity
GO:0030594,neurotransmitter receptor activity
GO:0035094,response to nicotine
GO:0060078,regulation of postsynaptic membrane potential
GO:0060079,excitatory postsynaptic potential
GO:0004535,poly(A)-specific ribonuclease activity
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening
GO:0004518,nuclease activity
GO:0004527,exonuclease activity
GO:0051536,iron-sulfur cluster binding
GO:0051537,"2 iron, 2 sulfur cluster binding"
GO:0006879,intracellular iron ion homeostasis
GO:0097428,protein maturation by iron-sulfur cluster transfer
GO:0004622,lysophospholipase activity
GO:0008081,phosphoric diester hydrolase activity
GO:0034479,phosphatidylglycerol phospholipase C activity
GO:0046475,glycerophospholipid catabolic process
GO:0022857,transmembrane transporter activity
GO:0015631,tubulin binding
GO:0007017,microtubule-based process
GO:0007021,tubulin complex assembly
GO:0042393,histone binding
GO:0000077,DNA damage checkpoint signaling
GO:0034244,negative regulation of transcription elongation by RNA polymerase II
GO:0045892,negative regulation of DNA-templated transcription
GO:0003714,transcription corepressor activity
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
GO:0006301,postreplication repair
GO:0070534,protein K63-linked ubiquitination
GO:0051726,regulation of cell cycle
GO:0008446,"GDP-mannose 4,6-dehydratase activity"
GO:0019673,GDP-mannose metabolic process
GO:0042350,GDP-L-fucose biosynthetic process
GO:0042351,'de novo' GDP-L-fucose biosynthetic process
GO:0003746,translation elongation factor activity
GO:0043022,ribosome binding
GO:0006414,translational elongation
GO:0045901,positive regulation of translational elongation
GO:0045905,positive regulation of translational termination
GO:0006024,glycosaminoglycan biosynthetic process
GO:0050650,chondroitin sulfate proteoglycan biosynthetic process
GO:0008013,beta-catenin binding
GO:0004656,procollagen-proline 4-dioxygenase activity
GO:0031418,L-ascorbic acid binding
GO:0051213,dioxygenase activity
GO:0001973,G protein-coupled adenosine receptor signaling pathway
GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway
GO:0051087,protein-folding chaperone binding
GO:0051131,chaperone-mediated protein complex assembly
GO:0004252,serine-type endopeptidase activity
GO:0008236,serine-type peptidase activity
GO:0004550,nucleoside diphosphate kinase activity
GO:0006183,GTP biosynthetic process
GO:0006228,UTP biosynthetic process
GO:0006241,CTP biosynthetic process
GO:0008374,O-acyltransferase activity
GO:0001666,response to hypoxia
GO:0019432,triglyceride biosynthetic process
GO:0045017,glycerolipid biosynthetic process
GO:0071731,response to nitric oxide
GO:0015250,water channel activity
GO:0015267,channel activity
GO:0006833,water transport
GO:0061630,ubiquitin protein ligase activity
GO:0006511,ubiquitin-dependent protein catabolic process
GO:0016567,protein ubiquitination
GO:0016829,lyase activity
GO:0018812,3-hydroxyacyl-CoA dehydratase activity
GO:0102158,very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase activity
GO:0030497,fatty acid elongation
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0004623,phospholipase A2 activity
GO:0006644,phospholipid metabolic process
GO:0050482,arachidonic acid secretion
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0006891,intra-Golgi vesicle-mediated transport
GO:0048193,Golgi vesicle transport
GO:0017025,TBP-class protein binding
GO:0006352,DNA-templated transcription initiation
GO:0051123,RNA polymerase II preinitiation complex assembly
GO:0000774,adenyl-nucleotide exchange factor activity
GO:0050821,protein stabilization
GO:0008519,ammonium transmembrane transporter activity
GO:0072488,ammonium transmembrane transport
GO:0097272,ammonium homeostasis
GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
GO:0050152,omega-amidase activity
GO:0006107,oxaloacetate metabolic process
GO:0006528,asparagine metabolic process
GO:0006541,glutamine metabolic process
GO:0004712,protein serine/threonine/tyrosine kinase activity
GO:0006996,organelle organization
GO:0007059,chromosome segregation
GO:0007094,mitotic spindle assembly checkpoint signaling
GO:0033316,meiotic spindle assembly checkpoint signaling
GO:0034501,protein localization to kinetochore
GO:0001965,G-protein alpha-subunit binding
GO:0005092,GDP-dissociation inhibitor activity
GO:0030695,GTPase regulator activity
GO:0000132,establishment of mitotic spindle orientation
GO:0043130,ubiquitin binding
GO:0003725,double-stranded RNA binding
GO:0051033,RNA transmembrane transporter activity
GO:0050658,RNA transport
GO:0001097,TFIIH-class transcription factor complex binding
GO:0006367,transcription initiation at RNA polymerase II promoter
GO:0015485,cholesterol binding
GO:0032934,sterol binding
GO:0015918,sterol transport
GO:0032367,intracellular cholesterol transport
GO:0033344,cholesterol efflux
GO:0005198,structural molecule activity
GO:0032050,clathrin heavy chain binding
GO:0006886,intracellular protein transport
GO:0072583,clathrin-dependent endocytosis
GO:0001671,ATPase activator activity
GO:0030150,protein import into mitochondrial matrix
GO:0042803,protein homodimerization activity
GO:0006915,apoptotic process
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
GO:0042981,regulation of apoptotic process
GO:0097192,extrinsic apoptotic signaling pathway in absence of ligand
GO:0036139,peptidyl-histidine dioxygenase activity
GO:0036140,[protein]-asparagine 3-dioxygenase activity
GO:0071532,ankyrin repeat binding
GO:0045746,negative regulation of Notch signaling pathway
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0004713,protein tyrosine kinase activity
GO:0004714,transmembrane receptor protein tyrosine kinase activity
GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway
GO:0045766,positive regulation of angiogenesis
GO:0008376,acetylgalactosaminyltransferase activity
GO:0030336,negative regulation of cell migration
GO:0032486,Rap protein signal transduction
GO:0005254,chloride channel activity
GO:1902476,chloride transmembrane transport
GO:0007166,cell surface receptor signaling pathway
GO:0016055,Wnt signaling pathway
GO:0061299,retina vasculature morphogenesis in camera-type eye
GO:0003755,peptidyl-prolyl cis-trans isomerase activity
GO:0008160,protein tyrosine phosphatase activator activity
GO:0016853,isomerase activity
GO:0019211,phosphatase activator activity
GO:0007052,mitotic spindle organization
GO:0003958,NADPH-hemoprotein reductase activity
GO:0010181,FMN binding
GO:0016651,"oxidoreductase activity, acting on NAD(P)H"
GO:0050660,flavin adenine dinucleotide binding
GO:0050661,NADP binding
GO:0016226,iron-sulfur cluster assembly
GO:0005112,Notch binding
GO:0007131,reciprocal meiotic recombination
GO:0051321,meiotic cell cycle
GO:0051598,meiotic recombination checkpoint signaling
GO:0051119,sugar transmembrane transporter activity
GO:0008643,carbohydrate transport
GO:0034219,carbohydrate transmembrane transport
GO:0071702,organic substance transport
GO:0010890,positive regulation of sequestering of triglyceride
GO:0019915,lipid storage
GO:0003779,actin binding
GO:0051015,actin filament binding
GO:0030036,actin cytoskeleton organization
GO:0034314,Arp2/3 complex-mediated actin nucleation
GO:0016405,CoA-ligase activity
GO:0046949,fatty-acyl-CoA biosynthetic process
GO:0051108,carnitine-CoA ligase activity
GO:0051109,crotonobetaine-CoA ligase activity
GO:0019748,secondary metabolic process
GO:0042562,hormone binding
GO:0047127,thiomorpholine-carboxylate dehydrogenase activity
GO:0070324,thyroid hormone binding
GO:0042403,thyroid hormone metabolic process
GO:0006820,monoatomic anion transport
GO:0004016,adenylate cyclase activity
GO:0004383,guanylate cyclase activity
GO:0016849,phosphorus-oxygen lyase activity
GO:0016941,natriuretic peptide receptor activity
GO:0017046,peptide hormone binding
GO:0006182,cGMP biosynthetic process
GO:0007168,receptor guanylyl cyclase signaling pathway
GO:0009190,cyclic nucleotide biosynthetic process
GO:0035556,intracellular signal transduction
GO:0001653,peptide receptor activity
GO:0010960,magnesium ion homeostasis
GO:0030026,intracellular manganese ion homeostasis
GO:0005102,signaling receptor binding
GO:0005109,frizzled binding
GO:0005125,cytokine activity
GO:0045165,cell fate commitment
GO:0000049,tRNA binding
GO:0002098,tRNA wobble uridine modification
GO:0006400,tRNA modification
GO:0008033,tRNA processing
GO:0010945,coenzyme A diphosphatase activity
GO:0016706,2-oxoglutarate-dependent dioxygenase activity
GO:0015228,coenzyme A transmembrane transporter activity
GO:1990559,mitochondrial coenzyme A transmembrane transport
GO:0034472,snRNA 3'-end processing
GO:0008285,negative regulation of cell population proliferation
GO:0032006,regulation of TOR signaling
GO:0032007,negative regulation of TOR signaling
GO:0003713,transcription coactivator activity
GO:0031593,polyubiquitin modification-dependent protein binding
GO:0005484,SNAP receptor activity
GO:0061025,membrane fusion
GO:0004844,uracil DNA N-glycosylase activity
GO:0016799,"hydrolase activity, hydrolyzing N-glycosyl compounds"
GO:0006281,DNA repair
GO:0006284,base-excision repair
GO:0006974,DNA damage response
GO:0097510,"base-excision repair, AP site formation via deaminated base removal"
GO:1901647,positive regulation of synoviocyte proliferation
GO:0010114,response to red light
GO:0035173,histone kinase activity
GO:0072354,histone H3T3 kinase activity
GO:0031491,nucleosome binding
GO:0016191,synaptic vesicle uncoating
GO:0022900,electron transport chain
GO:0004081,bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
GO:0008796,bis(5'-nucleosyl)-tetraphosphatase activity
GO:0006167,AMP biosynthetic process
GO:0006754,ATP biosynthetic process
GO:0061631,ubiquitin conjugating enzyme activity
GO:0000209,protein polyubiquitination
GO:0000993,RNA polymerase II complex binding
GO:0031124,mRNA 3'-end processing
GO:0009100,glycoprotein metabolic process
GO:0035269,protein O-linked mannosylation
GO:0008239,dipeptidyl-peptidase activity
GO:0070008,serine-type exopeptidase activity
GO:0008479,tRNA-guanosine(34) queuine transglycosylase activity
GO:0016763,pentosyltransferase activity
GO:0101030,tRNA-guanine transglycosylation
GO:0000703,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GO:0003906,DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0019104,DNA N-glycosylase activity
GO:0051539,"4 iron, 4 sulfur cluster binding"
GO:0006285,"base-excision repair, AP site formation"
GO:0004382,GDP phosphatase activity
GO:0017110,nucleoside diphosphate phosphatase activity
GO:0045134,UDP phosphatase activity
GO:0030166,proteoglycan biosynthetic process
GO:0016279,protein-lysine N-methyltransferase activity
GO:0140911,pore-forming activity
GO:0031640,killing of cells of another organism
GO:0036371,protein localization to T-tubule
GO:0050829,defense response to Gram-negative bacterium
GO:0055117,regulation of cardiac muscle contraction
GO:1904108,protein localization to ciliary inversin compartment
GO:0004521,RNA endonuclease activity
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0006396,RNA processing
GO:0042254,ribosome biogenesis
GO:0003729,mRNA binding
GO:0005250,A-type (transient outward) potassium channel activity
GO:0004306,ethanolamine-phosphate cytidylyltransferase activity
GO:0006646,phosphatidylethanolamine biosynthetic process
GO:0008654,phospholipid biosynthetic process
GO:0009058,biosynthetic process
GO:0003881,CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity
GO:0016780,"phosphotransferase activity, for other substituted phosphate groups"
GO:0006661,phosphatidylinositol biosynthetic process
GO:0036009,protein-glutamine N-methyltransferase activity
GO:0000070,mitotic sister chromatid segregation
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0005515,protein binding
GO:0010468,regulation of gene expression
GO:0000045,autophagosome assembly
GO:0045893,positive regulation of DNA-templated transcription
GO:0042984,regulation of amyloid precursor protein biosynthetic process
GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups"
GO:0061711,N(6)-L-threonylcarbamoyladenine synthase activity
GO:0002949,tRNA threonylcarbamoyladenosine modification
GO:0070525,tRNA threonylcarbamoyladenosine metabolic process
GO:0008190,eukaryotic initiation factor 4E binding
GO:0006417,regulation of translation
GO:0017148,negative regulation of translation
GO:0045947,negative regulation of translational initiation
GO:0005093,Rab GDP-dissociation inhibitor activity
GO:0005096,GTPase activator activity
GO:0007264,small GTPase-mediated signal transduction
GO:0015031,protein transport
GO:0050750,low-density lipoprotein particle receptor binding
GO:0004307,ethanolaminephosphotransferase activity
GO:0008380,RNA splicing
GO:0017128,phospholipid scramblase activity
GO:0017121,plasma membrane phospholipid scrambling
GO:0004842,ubiquitin-protein transferase activity
GO:0031624,ubiquitin conjugating enzyme binding
GO:0015271,outward rectifier potassium channel activity
GO:0022841,potassium ion leak channel activity
GO:0030322,stabilization of membrane potential
GO:0098655,monoatomic cation transmembrane transport
GO:0098662,inorganic cation transmembrane transport
GO:0038024,cargo receptor activity
GO:0007030,Golgi organization
GO:0030178,negative regulation of Wnt signaling pathway
GO:0060061,Spemann organizer formation
GO:0070300,phosphatidic acid binding
GO:0045494,photoreceptor cell maintenance
GO:0048280,vesicle fusion with Golgi apparatus
GO:0000245,spliceosomal complex assembly
GO:0000387,spliceosomal snRNP assembly
GO:0016756,glutathione gamma-glutamylcysteinyltransferase activity
GO:0010038,response to metal ion
GO:0010273,detoxification of copper ion
GO:0046938,phytochelatin biosynthetic process
GO:0098849,cellular detoxification of cadmium ion
GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor"
GO:0050613,delta14-sterol reductase activity
GO:0006694,steroid biosynthetic process
GO:0006695,cholesterol biosynthetic process
GO:0008202,steroid metabolic process
GO:0016126,sterol biosynthetic process
GO:0045666,positive regulation of neuron differentiation
GO:0003774,cytoskeletal motor activity
GO:0003777,microtubule motor activity
GO:0008017,microtubule binding
GO:0003697,single-stranded DNA binding
GO:0004176,ATP-dependent peptidase activity
GO:0006515,protein quality control for misfolded or incompletely synthesized proteins
GO:0007005,mitochondrion organization
GO:0030163,protein catabolic process
GO:0035539,"8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity"
GO:0006203,dGTP catabolic process
GO:0015026,coreceptor activity
GO:0030509,BMP signaling pathway
GO:0015095,magnesium ion transmembrane transporter activity
GO:0015693,magnesium ion transport
GO:1903830,magnesium ion transmembrane transport
GO:0006119,oxidative phosphorylation
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen"
GO:0008146,sulfotransferase activity
GO:0008476,protein-tyrosine sulfotransferase activity
GO:0016788,"hydrolase activity, acting on ester bonds"
GO:0050528,acyloxyacyl hydrolase activity
GO:0009104,lipopolysaccharide catabolic process
GO:0050728,negative regulation of inflammatory response
GO:0042590,antigen processing and presentation of exogenous peptide antigen via MHC class I
GO:0002039,p53 binding
GO:0017136,NAD-dependent histone deacetylase activity
GO:0046970,NAD-dependent histone H4K16 deacetylase activity
GO:0047627,adenylylsulfatase activity
GO:0006790,sulfur compound metabolic process
GO:0009154,purine ribonucleotide catabolic process
GO:0004993,G protein-coupled serotonin receptor activity
GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"
GO:0007268,chemical synaptic transmission
GO:0098664,G protein-coupled serotonin receptor signaling pathway
GO:0004177,aminopeptidase activity
GO:0030145,manganese ion binding
GO:0070006,metalloaminopeptidase activity
GO:0019538,protein metabolic process
GO:0000900,mRNA regulatory element binding translation repressor activity
GO:0030371,translation repressor activity
GO:0004977,melanocortin receptor activity
GO:0043249,erythrocyte maturation
GO:0016790,thiolester hydrolase activity
GO:0004185,serine-type carboxypeptidase activity
GO:0001786,phosphatidylserine binding
GO:0005544,calcium-dependent phospholipid binding
GO:0019905,syntaxin binding
GO:0030276,clathrin binding
GO:0014059,regulation of dopamine secretion
GO:0017158,regulation of calcium ion-dependent exocytosis
GO:0048488,synaptic vesicle endocytosis
GO:0048791,calcium ion-regulated exocytosis of neurotransmitter
GO:0071277,cellular response to calcium ion
GO:0000149,SNARE binding
GO:0017156,calcium-ion regulated exocytosis
GO:0032543,mitochondrial translation
GO:0070273,phosphatidylinositol-4-phosphate binding
GO:0001056,RNA polymerase III activity
GO:0003899,DNA-directed 5'-3' RNA polymerase activity
GO:0006351,DNA-templated transcription
GO:0006386,termination of RNA polymerase III transcription
GO:0001640,adenylate cyclase inhibiting G protein-coupled glutamate receptor activity
GO:0099530,G protein-coupled receptor activity involved in regulation of postsynaptic membrane potential
GO:0099583,neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration
GO:0007196,adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway
GO:0007216,G protein-coupled glutamate receptor signaling pathway
GO:0051966,"regulation of synaptic transmission, glutamatergic"
GO:0007155,cell adhesion
GO:0031638,zymogen activation
GO:0042826,histone deacetylase binding
GO:0006606,protein import into nucleus
GO:0005315,inorganic phosphate transmembrane transporter activity
GO:0035435,phosphate ion transmembrane transport
GO:1990547,mitochondrial phosphate ion transmembrane transport
GO:0000062,fatty-acyl-CoA binding
GO:0004165,delta(3)-delta(2)-enoyl-CoA isomerase activity
GO:0006635,fatty acid beta-oxidation
GO:0005035,death receptor activity
GO:0048406,nerve growth factor binding
GO:0007266,Rho protein signal transduction
GO:0012501,programmed cell death
GO:0009653,anatomical structure morphogenesis
GO:0006821,chloride transport
GO:0019901,protein kinase binding
GO:0006914,autophagy
GO:0007064,mitotic sister chromatid cohesion
GO:0006623,protein targeting to vacuole
GO:0009056,catabolic process
GO:0043162,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0043021,ribonucleoprotein complex binding
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0006364,rRNA processing
GO:0042273,ribosomal large subunit biogenesis
GO:0006906,vesicle fusion
GO:0048219,inter-Golgi cisterna vesicle-mediated transport
GO:0004181,metallocarboxypeptidase activity
GO:0006518,peptide metabolic process
GO:0016485,protein processing
GO:0008201,heparin binding
GO:0035473,lipase binding
GO:0048019,receptor antagonist activity
GO:0070326,very-low-density lipoprotein particle receptor binding
GO:0002091,negative regulation of receptor internalization
GO:0010916,negative regulation of very-low-density lipoprotein particle clearance
GO:0048259,regulation of receptor-mediated endocytosis
GO:0015347,sodium-independent organic anion transmembrane transporter activity
GO:0015349,thyroid hormone transmembrane transporter activity
GO:0043252,sodium-independent organic anion transport
GO:0045943,positive regulation of transcription by RNA polymerase I
GO:0003995,acyl-CoA dehydrogenase activity
GO:0008470,isovaleryl-CoA dehydrogenase activity
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors"
GO:0016937,short-chain fatty acyl-CoA dehydrogenase activity
