"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","protein","domain"
"Nvec-vc1.1-XM-001629534.3",6.93030900686427e-51,0.299406987299321,1,0.992,1.14592659428501e-46,"0","Nvec-vc1.1-XM-001629534.3","RPS24","Ribosomal_S24e/"
"Nvec-vc1.1-XM-032364224.2",1.27272632413759e-50,-2.6523804553672,0.085,0.282,2.10445297696151e-46,"0","Nvec-vc1.1-XM-032364224.2","RLRa","CARD_2/DEAD/RIG-I_C/Helicase_C/RIG-I_C-RD/"
"Nvec-vc1.1-XM-048728255.1",1.66454000854449e-50,-2.81396853455027,0.129,0.336,2.75231690412831e-46,"0","Nvec-vc1.1-XM-048728255.1","",""
"Nvec-vc1.1-XM-001624599.3",2.2376147937597e-50,0.333734178567686,0.999,0.992,3.69989606148166e-46,"0","Nvec-vc1.1-XM-001624599.3","RPL24","Ribosomal_L24e/"
"Nvec-vc1.1-XM-001639027.3",1.50551375172604e-49,-2.41015121559018,0.228,0.457,2.48936698847901e-45,"0","Nvec-vc1.1-XM-001639027.3","SQSTM1","PB1/ZZ/UBA_5/"
"Nvec-vc1.1-XM-001622373.3",1.78970415697503e-49,0.935842032933188,0.711,0.526,2.95927582355822e-45,"0","Nvec-vc1.1-XM-001622373.3","HSPA8","HSP70/"
"Nvec-NVE23746",3.36685554019216e-49,-1.96894803552507,0.179,0.403,5.56709563570773e-45,"0","Nvec-NVE23746","",""
"Nvec-vc1.1-XM-001630762.3",2.77182255319199e-48,0.270915566869341,1,0.995,4.58320859170295e-44,"0","Nvec-vc1.1-XM-001630762.3","RPL13A","Ribosomal_L13/"
"Nvec-vc1.1-XM-001630246.3",3.76270056503905e-48,0.354664692384108,0.999,0.977,6.22162538429207e-44,"0","Nvec-vc1.1-XM-001630246.3","RPL37","Ribosomal_L37e/"
"Nvec-vc1.1-XM-001629800.3",5.95881774611877e-48,0.302128801554135,1,0.996,9.85290514320738e-44,"0","Nvec-vc1.1-XM-001629800.3","RPS20","Ribosomal_S10/"
"Nvec-vc1.1-XM-032373866.2",2.54116928336628e-47,-1.71409309651867,0.183,0.404,4.20182341004615e-43,"0","Nvec-vc1.1-XM-032373866.2","SULF2","Sulfatase/"
"Nvec-vc1.1-XM-001631232.3",2.750339139719e-47,0.303536160817011,0.999,0.994,4.54768576752537e-43,"0","Nvec-vc1.1-XM-001631232.3","RPL14","Ribosomal_L14e/"
"Nvec-NVE19743",2.92591670757372e-47,0.663922453245689,0.693,0.429,4.83800327597315e-43,"0","Nvec-NVE19743","","HLH/"
"Nvec-vc1.1-XM-001632499.3",5.78789759805934e-47,0.309232739116466,1,0.995,9.57028867839111e-43,"0","Nvec-vc1.1-XM-001632499.3","RPL31","Ribosomal_L31e/"
"Nvec-NVE20852",9.62504484322043e-47,-1.54687111858905,0.287,0.509,1.5915011648265e-42,"0","Nvec-NVE20852","","CITED/"
"Nvec-vc1.1-XM-001632206.3",1.20967705396802e-46,0.789504205826886,0.686,0.452,2.00020100873613e-42,"0","Nvec-vc1.1-XM-001632206.3","CAPN9","Peptidase_C2/Calpain_III/"
"Nvec-vc1.1-XM-032375701.2",1.1846566920579e-45,-2.160461792406,0.103,0.296,1.95882984031774e-41,"0","Nvec-vc1.1-XM-032375701.2","EFNB2","Ephrin/"
"Nvec-vc1.1-XM-001625597.3",1.22446801740533e-45,0.316379568577953,0.999,0.993,2.02465786677971e-41,"0","Nvec-vc1.1-XM-001625597.3","RPS4X","RS4NT/S4/Ribosomal_S4e/KOW/40S_S4_C/"
"Nvec-vc1.1-XM-048733046.1",1.40349627258709e-45,0.262696428106423,0.999,0.997,2.32068108672275e-41,"0","Nvec-vc1.1-XM-048733046.1","RPS19","Ribosomal_S19e/"
"Nvec-vc1.1-XM-032366711.2",1.94731904600809e-45,1.87403677058461,0.296,0.098,3.21989204257437e-41,"0","Nvec-vc1.1-XM-032366711.2","",""
"Nvec-vc1.1-XM-001626010.3",3.1594593804385e-45,0.260939977150735,0.999,0.998,5.22416608555505e-41,"0","Nvec-vc1.1-XM-001626010.3","RPS13","Ribosomal_S13_N/Ribosomal_S15/"
"Nvec-vc1.1-XM-001626656.3",3.34982276267742e-45,0.30317164075205,0.998,0.99,5.53893193808711e-41,"0","Nvec-vc1.1-XM-001626656.3","RPL36","Ribosomal_L36e/"
"Nvec-vc1.1-XM-032381153.2",5.17920323320785e-45,0.260682018341646,1,0.999,8.56381254610918e-41,"0","Nvec-vc1.1-XM-032381153.2","RPLP1","Ribosomal_60s/"
"Nvec-vc1.1-XM-001627177.2",6.70931416767663e-45,0.473838963608186,0.895,0.626,1.10938509762533e-40,"0","Nvec-vc1.1-XM-001627177.2","",""
"Nvec-vc1.1-XM-001639829.3",7.06279942696593e-45,0.298114778870104,1,0.992,1.16783388524882e-40,"0","Nvec-vc1.1-XM-001639829.3","RPS11","Ribosomal_S17_N/Ribosomal_S17/"
"Nvec-vc1.1-XM-032386945.2",9.52461848606037e-45,0.281049196327166,1,0.994,1.57489566667008e-40,"0","Nvec-vc1.1-XM-032386945.2","RPL32","Ribosomal_L32e/"
"Nvec-vc1.1-XM-048731964.1",1.67854129119638e-44,0.347026969973499,0.998,0.991,2.77546802499321e-40,"0","Nvec-vc1.1-XM-048731964.1","","Profilin/"
"Nvec-vc1.1-XM-001626783.3",2.86985285365182e-44,0.356678647539897,0.999,0.986,4.74530169351328e-40,"0","Nvec-vc1.1-XM-001626783.3","RPL22","Ribosomal_L22e/"
"Nvec-v1g83261",3.26862356456836e-44,0.727126030447598,0.836,0.673,5.40466906401379e-40,"0","Nvec-v1g83261","","HSBP1/"
"Nvec-vc1.1-XM-001636352.3",7.09732336271906e-44,-2.51104570509053,0.112,0.294,1.1735424180256e-39,"0","Nvec-vc1.1-XM-001636352.3","ELK1","Ets/"
"Nvec-vc1.1-XM-001639511.3",1.0726550739074e-43,-2.18459426898137,0.08,0.256,1.77363516470588e-39,"0","Nvec-vc1.1-XM-001639511.3","FKBP14","FKBP_C/EF-hand_7/"
"Nvec-vc1.1-XM-032382763.2",1.08394492573092e-43,-2.02446490521653,0.09,0.276,1.79230293469607e-39,"0","Nvec-vc1.1-XM-032382763.2","SPSB1","SPRY/SOCS_box/"
"Nvec-vc1.1-XM-048719744.1",1.47270398795413e-43,-1.71895061333691,0.256,0.459,2.43511604408215e-39,"0","Nvec-vc1.1-XM-048719744.1","SLC25A36","Mito_carr/Mito_carr/Mito_carr/"
"Nvec-vc1.1-XM-032371278.2",2.03981797152109e-43,0.294054008906079,1,0.992,3.37283901591012e-39,"0","Nvec-vc1.1-XM-032371278.2","RPL15","Ribosomal_L15e/"
"Nvec-vc1.1-XM-001630427.3",5.50663565337736e-43,0.302688046722142,1,0.995,9.10522205285946e-39,"0","Nvec-vc1.1-XM-001630427.3","RPL36A","Ribosomal_L44/"
"Nvec-vc1.1-XM-001633386.3",8.65991894975357e-43,0.272925095315624,1,0.994,1.43191759834175e-38,"0","Nvec-vc1.1-XM-001633386.3","RPL6","Ribosomal_L6e_N/Ribosomal_L6e/"
"Nvec-vc1.1-XM-001622646.3",2.05597372878546e-42,0.256672998064134,1,0.997,3.39955256054675e-38,"0","Nvec-vc1.1-XM-001622646.3","RPS8","Ribosomal_S8e/"
"Nvec-vc1.1-XM-001630433.3",3.69947269148171e-42,0.288411772206121,1,0.998,6.11707809536501e-38,"0","Nvec-vc1.1-XM-001630433.3","RPL34","Ribosomal_L34e/"
"Nvec-vc1.1-XM-048733995.1",5.73108873533532e-42,0.837739878795994,0.623,0.409,9.47635522387694e-38,"0","Nvec-vc1.1-XM-048733995.1","NLRP12","HEPN_DZIP3/NACHT/"
"Nvec-vc1.1-XM-032365142.1",1.00922876957893e-41,0.324049591891988,0.998,0.992,1.66875977049877e-37,"0","Nvec-vc1.1-XM-032365142.1","RPSA","Ribosomal_S2/Ribosomal_S2/40S_SA_C/"
"Nvec-vc1.1-XM-032385246.1",5.35450647062589e-41,-1.77035380560639,0.129,0.315,8.8536764491799e-37,"0","Nvec-vc1.1-XM-032385246.1","C7orf57",""
"Nvec-vc1.1-XM-048721305.1",7.29190030993038e-41,0.373378687192153,0.866,0.615,1.20571571624699e-36,"0","Nvec-vc1.1-XM-048721305.1","",""
"Nvec-vc1.1-XM-048731962.1",8.00445021440455e-41,-1.66432953515529,0.132,0.321,1.32353584295179e-36,"0","Nvec-vc1.1-XM-048731962.1","ACER3","Ceramidase/"
"Nvec-vc1.1-XM-001640975.3",1.62413947741147e-40,0.350579498972617,0.997,0.984,2.68551462589987e-36,"0","Nvec-vc1.1-XM-001640975.3","RPL37A","Ribosomal_L37ae/"
"Nvec-vc1.1-XM-032375358.2",1.78651367950842e-40,0.553612953462849,0.929,0.821,2.95400036906717e-36,"0","Nvec-vc1.1-XM-032375358.2","H1_0","Linker_histone/"
"Nvec-vc1.1-XM-001630275.3",2.27300746404426e-40,1.36031124587506,0.406,0.206,3.75841784179719e-36,"0","Nvec-vc1.1-XM-001630275.3","PRKAR2A","RIIa/cNMP_binding/cNMP_binding/"
"Nvec-vc1.1-XM-001631925.3",5.43657432182521e-40,0.372601741358017,0.995,0.977,8.98937564113798e-36,"0","Nvec-vc1.1-XM-001631925.3","RPS21","Ribosomal_S21e/"
"Nvec-vc1.1-XM-001633857.3",7.28944004787891e-40,0.46481359013201,0.733,0.439,1.20530891191678e-35,"0","Nvec-vc1.1-XM-001633857.3","",""
"Nvec-vc1.1-XM-001629759.3",9.48216338800114e-40,1.29842485394569,0.383,0.179,1.56787571620599e-35,"0","Nvec-vc1.1-XM-001629759.3","","ubiquitin/TerD/"
"Nvec-vc1.1-XM-032383475.2",3.64050877262314e-39,0.265254863531394,1,0.995,6.01958125553237e-35,"0","Nvec-vc1.1-XM-032383475.2","RPS14","Ribosomal_S11/"
"Nvec-NVE13960",5.92980344425065e-39,1.13238405714724,0.451,0.242,9.80492999506845e-35,"0","Nvec-NVE13960","",""
"Nvec-vc1.1-XM-001632093.3",4.69829621460524e-38,0.891662596107033,0.569,0.345,7.76863279084976e-34,"0","Nvec-vc1.1-XM-001632093.3","SEPTIN8","AIG1/"
"Nvec-NVE12148",5.55661079693014e-38,-1.15575156614468,0.38,0.58,9.18785595272399e-34,"0","Nvec-NVE12148","","Phospho_p8/"
"Nvec-vc1.1-XM-032379075.2",6.39857256516536e-38,-0.892471796442532,0.739,0.858,1.05800397365009e-33,"0","Nvec-vc1.1-XM-032379075.2","SDC3","Syndecan/"
"Nvec-vc1.1-XM-001629741.3",7.35607377929118e-38,0.86564942475504,0.511,0.291,1.2163267994058e-33,"0","Nvec-vc1.1-XM-001629741.3","RNF213","AAA_5/"
"Nvec-vc1.1-XM-001630533.3",8.45695731827363e-38,-0.896114190388606,0.871,0.891,1.39835789257654e-33,"0","Nvec-vc1.1-XM-001630533.3","ACTB","Actin/"
"Nvec-vc1.1-XM-001623597.3",2.55509252610196e-37,-0.688413797509315,0.534,0.745,4.2248454919096e-33,"0","Nvec-vc1.1-XM-001623597.3","TMED2","EMP24_GP25L/"
"Nvec-vc1.1-XM-048724836.1",9.02559658625485e-37,-2.01877551331935,0.339,0.489,1.49238239553724e-32,"0","Nvec-vc1.1-XM-048724836.1","EFHD2","EF-hand_7/"
"Nvec-vc1.1-XM-001639390.3",1.56942019901519e-36,-1.61577566557418,0.097,0.268,2.59503629907161e-32,"0","Nvec-vc1.1-XM-001639390.3","PLA2G15","LCAT/LCAT/"
"Nvec-vc1.1-XM-032381032.2",2.56002784982053e-36,0.790939830667319,0.577,0.362,4.23300604967825e-32,"0","Nvec-vc1.1-XM-032381032.2","ATP6V1FNB",""
"Nvec-vc1.1-XM-001631718.3",2.64489137216352e-36,-1.44844388037355,0.115,0.294,4.37332788387239e-32,"0","Nvec-vc1.1-XM-001631718.3","",""
"Nvec-vc1.1-XM-048726181.1",3.04107064802166e-36,1.17938672656538,0.458,0.264,5.02841031650381e-32,"0","Nvec-vc1.1-XM-048726181.1","SACS","HEPN/HEPN/HEPN/"
"Nvec-vc1.1-XM-048724740.1",3.06881482500305e-36,-1.33764376522049,0.138,0.326,5.07428531314255e-32,"0","Nvec-vc1.1-XM-048724740.1","SEC62","Sec62/"
"Nvec-vc1.1-XM-001635588.3",9.89792505342947e-36,0.692403702183228,0.754,0.632,1.63662190758456e-31,"0","Nvec-vc1.1-XM-001635588.3","",""
"Nvec-vc1.1-XM-001638302.3",2.79447365928668e-35,0.30520815724488,0.969,0.841,4.62066219563052e-31,"0","Nvec-vc1.1-XM-001638302.3","H2AZ2","Histone/Histone_H2A_C/"
"Nvec-vc1.1-XM-001634508.3",4.6580276255511e-35,-1.3225187785853,0.138,0.322,7.70204867884874e-31,"0","Nvec-vc1.1-XM-001634508.3","RAB18","Ras/"
"Nvec-vc1.1-XM-032386302.2",1.04171277394339e-34,-1.70688456473011,0.115,0.282,1.7224720717154e-30,"0","Nvec-vc1.1-XM-032386302.2","DCLK2","DCX/DCX/Pkinase/"
"Nvec-vc1.1-XM-048731915.1",1.06847011792464e-34,0.305501323275871,0.999,0.979,1.76671533998839e-30,"0","Nvec-vc1.1-XM-048731915.1","CAPSL","EF-hand_7/EF-hand_7/"
"Nvec-vc1.1-XM-001637882.3",2.79692717895578e-34,0.313839899014751,0.996,0.984,4.62471909040338e-30,"0","Nvec-vc1.1-XM-001637882.3","NACA","NAC/HYPK_UBA/"
"Nvec-vc1.1-XM-001628443.3",3.09875312690459e-34,-1.25920999655211,0.168,0.359,5.12378829533674e-30,"0","Nvec-vc1.1-XM-001628443.3","HS6ST1","Sulfotransfer_2/"
"Nvec-vc1.1-XM-001622887.3",9.0710924455707e-34,-1.12774693604803,0.162,0.352,1.49990513587512e-29,"0","Nvec-vc1.1-XM-001622887.3","CD151","Tetraspanin/"
"Nvec-vc1.1-XM-001635365.3",1.52054748948669e-33,-1.10483798847567,0.422,0.615,2.51422527386624e-29,"0","Nvec-vc1.1-XM-001635365.3","OAS1","NTP_transf_2/OAS1_C/"
