"","Nvec","classification","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","protein","domain"
"38","Nvec_v1g19278","Nematostella-specific","Nvec-v1g19278",4.43210577985502e-13,-0.959617762841201,0.077,0.112,7.32848690699028e-09,"KLF13","zf-C2H2/zf-C2H2/zf-C2H2/"
"39","Nvec_v1g198581","Nematostella-specific","Nvec-v1g198581",1.40172667777502e-12,-0.76095580151137,0.059,0.102,2.31775506170099e-08,"POP7","Rpp20/"
"40","Nvec_v1g198603","Conserved","Nvec-v1g198603",5.66855802051773e-18,-1.14048508587297,0.045,0.091,9.37296068692606e-14,"",""
"41","Nvec_v1g199932","Nematostella-specific","Nvec-v1g199932",5.35968708863638e-10,-0.709215180141869,0.057,0.094,8.86224260106025e-06,"MRPL33","Ribosomal_L33/"
"42","Nvec_v1g201448","Nematostella-specific","Nvec-v1g201448",2.69841162961753e-09,-0.932152199665634,0.034,0.063,4.46182362957259e-05,"",""
"43","Nvec_v1g204906","Nematostella-specific","Nvec-v1g204906",9.81372909178335e-72,-0.959419197514518,0.302,0.471,1.62270010532638e-67,"ANKRD40","Ank_4/"
"44","Nvec_v1g206164","Divergent","Nvec-v1g206164",1.47595537969278e-70,-0.69282738955043,0.772,0.869,2.44049222032202e-66,"BTG1","BTG/"
"45","Nvec_v1g209782","Nematostella-specific","Nvec-v1g209782",7.29949719621998e-26,-1.6229883469475,0.023,0.072,1.20697186139497e-21,"OPRM1","7tm_1/"
"46","Nvec_v1g212694","Nematostella-specific","Nvec-v1g212694",5.67932626685e-121,-0.530380807240952,0.86,0.925,9.39076598223647e-117,"GNG8","G-gamma/"
"47","Nvec_v1g218449","Nematostella-specific","Nvec-v1g218449",2.4861994974884e-14,-0.270076017820438,0.889,0.912,4.11093086909706e-10,"TMEM258","Ost5/"
"48","Nvec_v1g221816","Divergent","Nvec-v1g221816",1.0671352319814e-19,6.56695671266684,0.011,0,1.76450810608125e-15,"FKRP","LicD/"
"49","Nvec_v1g227748","Conserved","Nvec-v1g227748",6.80592414808048e-35,-1.43403744956905,0.044,0.116,1.12535955788511e-30,"","Lysine_decarbox/"
"50","Nvec_v1g232050","Nematostella-specific","Nvec-v1g232050",3.66882134275572e-08,-0.78628815197646,0.04,0.067,0.000606639609024659,"UBL4A","ubiquitin/Tugs/"
"51","Nvec_v1g233363","Conserved","Nvec-v1g233363",1.77590801167337e-26,-1.65783874149126,0.022,0.071,2.93646389730192e-22,"",""
"52","Nvec_v1g236414","Nematostella-specific","Nvec-v1g236414",4.94438038700053e-07,-0.501471098891272,0.079,0.113,0.00817553296990538,"COX6B1","COX6B/"
"53","Nvec_v1g237368","Nematostella-specific","Nvec-v1g237368",9.72478951635758e-38,-0.467869159383623,0.408,0.543,1.60799394652973e-33,"MEIG1","Meiosis_expr/"
"54","Nvec_v1g238274","Divergent","Nvec-v1g238274",8.49714822486925e-14,0.432080928941719,0.295,0.239,1.40500345898213e-09,"",""
"55","Nvec_v1g238326","Nematostella-specific","Nvec-v1g238326",1.33196496114954e-23,-0.733074808819965,0.115,0.193,2.20240406326076e-19,"MRPL32","Ribosomal_L32p/"
"56","Nvec_v1g238666","Nematostella-specific","Nvec-v1g238666",2.17084188069825e-15,-2.3558754268107,0.005,0.026,3.58948704973455e-11,"",""
"57","Nvec_v1g241372","Conserved","Nvec-v1g241372",0,5.98162547199712,0.558,0.032,0,"GBP1","GBP/"
"58","Nvec_v1g241566","Nematostella-specific","Nvec-v1g241566",5.68870306368087e-14,-3.0739261607938,0.002,0.019,9.40627051579631e-10,"",""
"59","Nvec_v1g241767","Nematostella-specific","Nvec-v1g241767",5.67724873551753e-16,-2.85594902994534,0.003,0.023,9.38733078417824e-12,"","Jun/"
"60","Nvec_v1g243582","Nematostella-specific","Nvec-v1g243582",1.78848249920694e-30,-0.674189554274946,0.143,0.239,2.95725581243868e-26,"",""
"61","Nvec_v1g244626","Conserved","Nvec-v1g244626",8.03916494862739e-36,-2.61484372798628,0.013,0.062,1.32927592425554e-31,"",""
"62","Nvec_v1g245614","Nematostella-specific","Nvec-v1g245614",2.26002661370605e-43,-1.4948503377773,0.049,0.134,3.73695400576296e-39,"TRIM2","DUF5128/"
"63","Nvec_v1g245929","Nematostella-specific","Nvec-v1g245929",4.46131156763405e-07,-0.289823207474823,0.259,0.309,0.0073767786770829,"SELENOW","Rdx/"
"64","Nvec_v1g246185","Nematostella-specific","Nvec-v1g246185",2.94481393056574e-11,-0.956258266539396,0.033,0.064,4.86924983419046e-07,"","Synaphin/"
"65","Nvec_v1g246719","Nematostella-specific","Nvec-v1g246719",3.77417061214184e-11,0.404398599733133,0.276,0.224,6.24059110717653e-07,"",""
"66","Nvec_v1g247445","Nematostella-specific","Nvec-v1g247445",2.92967038307003e-06,-0.536784396702128,0.069,0.098,0.0484420997840629,"",""
"67","Nvec_v1g247700","Conserved","Nvec-v1g247700",7.59740467097314e-13,-0.561869682960534,0.085,0.132,1.25623086234541e-08,"","UPF0203/"
"68","Nvec_v1g248032","Nematostella-specific","Nvec-v1g248032",4.48997864665321e-33,-0.215489550713812,0.909,0.944,7.42417969224107e-29,"ATP5PF","ATP-synt_F6/"
"69","Nvec_v1g248385","Divergent","Nvec-v1g248385",8.32166806388766e-39,-1.07208246081011,0.084,0.179,1.37598781436382e-34,"TIMMDC1","Tim17/"
"70","Nvec_v1g98013","Nematostella-specific","Nvec-v1g98013",1.39446893560445e-06,-0.942248876339564,0.021,0.04,0.0230575438502195,"","GATase/"
"71","Nvec_vc1.1_XM_001620304.3","Nematostella-specific","Nvec-vc1.1-XM-001620304.3",1.04771986703628e-14,-0.604067485050276,0.115,0.174,1.73240480014448e-10,"CCDC115",""
"72","Nvec_vc1.1_XM_001620373.3","Nematostella-specific","Nvec-vc1.1-XM-001620373.3",8.13085416852836e-27,-0.736601311458738,0.145,0.235,1.34443673676616e-22,"ZCCHC10","zf-CCHC_3/"
"73","Nvec_vc1.1_XM_001620571.3","Nematostella-specific","Nvec-vc1.1-XM-001620571.3",6.46156599000466e-07,-0.210094384952247,0.157,0.195,0.0106841993644727,"","WH1/"
"74","Nvec_vc1.1_XM_001620722.3","Nematostella-specific","Nvec-vc1.1-XM-001620722.3",5.22644313042146e-297,5.18961753567097,0.208,0.009,8.64192371615189e-293,"","TRAM_LAG1_CLN8/"
"75","Nvec_vc1.1_XM_001620767.3","Nematostella-specific","Nvec-vc1.1-XM-001620767.3",4.81756771782598e-35,-0.763946810931775,0.182,0.291,7.96584822142526e-31,"TMEM165","UPF0016/UPF0016/"
"76","Nvec_vc1.1_XM_001620925.3","Divergent","Nvec-vc1.1-XM-001620925.3",9.1709021179245e-09,-0.706826422928575,0.051,0.084,0.000151640866519882,"PAPOLA","PAP_central/PAP_RNA-bind/PAP_RNA-bind/"
"77","Nvec_vc1.1_XM_001621485.3","Nematostella-specific","Nvec-vc1.1-XM-001621485.3",5.65519492698261e-13,-0.328604159743184,0.229,0.298,9.35086481176575e-09,"MGLL","Hydrolase_4/"
"78","Nvec_vc1.1_XM_001621543.3","Nematostella-specific","Nvec-vc1.1-XM-001621543.3",4.5178090425135e-17,-0.600712314835104,0.139,0.208,7.47019725179608e-13,"","DUF4602/"
"79","Nvec_vc1.1_XM_001621715.3","Nematostella-specific","Nvec-vc1.1-XM-001621715.3",7.07646563752434e-27,-0.956075366776111,0.081,0.156,1.17009359316465e-22,"CINP",""
"80","Nvec_vc1.1_XM_001621809.3","Nematostella-specific","Nvec-vc1.1-XM-001621809.3",3.90693730967774e-45,-0.606084783420195,0.312,0.456,6.46012084155214e-41,"PPP2CB","Metallophos/"
"81","Nvec_vc1.1_XM_001621824.3","Conserved","Nvec-vc1.1-XM-001621824.3",3.70687295299797e-10,2.22015394914045,0.013,0.002,6.12931442778215e-06,"PRLHR","7tm_1/"
"82","Nvec_vc1.1_XM_001621892.3","Nematostella-specific","Nvec-vc1.1-XM-001621892.3",8.34390553481054e-31,-1.45829360889474,0.036,0.098,1.37966478018092e-26,"AGPAT4","Acyltransferase/Acyltransf_C/"
"83","Nvec_vc1.1_XM_001621919.3","Nematostella-specific","Nvec-vc1.1-XM-001621919.3",4.99685006663358e-76,-2.83772572536042,0.039,0.144,8.26229158517862e-72,"CSRNP3","CSRNP_N/CSRNP_N/"
"84","Nvec_vc1.1_XM_001621928.3","Conserved","Nvec-vc1.1-XM-001621928.3",1.32214977495224e-35,-1.33993388294168,0.054,0.131,2.18617465288353e-31,"ASH1L","SET/"
"85","Nvec_vc1.1_XM_001621929.3","Nematostella-specific","Nvec-vc1.1-XM-001621929.3",2.29789242341049e-10,-0.857782187804298,0.041,0.074,3.79956512210924e-06,"ACSL4","AMP-binding/AMP-binding_C/"
"86","Nvec_vc1.1_XM_001621930.3","Nematostella-specific","Nvec-vc1.1-XM-001621930.3",1.41144532947164e-49,-0.652287882709231,0.318,0.467,2.33382485228136e-45,"RAB6A","Ras/"
"87","Nvec_vc1.1_XM_001621947.3","Nematostella-specific","Nvec-vc1.1-XM-001621947.3",7.73573239109012e-28,-0.673139089418101,0.153,0.247,1.27910335086675e-23,"AK5",""
"88","Nvec_vc1.1_XM_001621991.3","Conserved","Nvec-vc1.1-XM-001621991.3",2.70609814784457e-97,-0.785664988144434,0.402,0.613,4.474533287461e-93,"PAICS","SAICAR_synt/AIRC/"
"89","Nvec_vc1.1_XM_001622045.3","Nematostella-specific","Nvec-vc1.1-XM-001622045.3",9.95124752065078e-07,-0.849149197840002,0.026,0.047,0.0164543877753961,"CDK10","Pkinase/"
"90","Nvec_vc1.1_XM_001622084.3","Conserved","Nvec-vc1.1-XM-001622084.3",9.4251923750094e-19,4.0889094158622,0.015,0.001,1.5584555592078e-14,"ADORA2B","7tm_1/"
"91","Nvec_vc1.1_XM_001622101.3","Divergent","Nvec-vc1.1-XM-001622101.3",6.41336203351079e-13,-0.715424154220171,0.069,0.114,1.06044941224101e-08,"KLHL24","BTB/"
"92","Nvec_vc1.1_XM_001622175.3","Nematostella-specific","Nvec-vc1.1-XM-001622175.3",1.72552875923501e-109,0.26879725865185,0.999,0.996,2.85316180339509e-105,"RPL19","Ribosomal_L19e/"
"93","Nvec_vc1.1_XM_001622225.3","Nematostella-specific","Nvec-vc1.1-XM-001622225.3",1.72117994202016e-97,-0.504127244076012,0.774,0.888,2.84597103413034e-93,"SRSF3","RRM_1/"
"94","Nvec_vc1.1_XM_001622226.3","Nematostella-specific","Nvec-vc1.1-XM-001622226.3",8.87194417297928e-16,-0.11136446368141,0.733,0.806,1.46697596900212e-11,"MDH2","Ldh_1_N/Ldh_1_C/"
"95","Nvec_vc1.1_XM_001622235.3","Conserved","Nvec-vc1.1-XM-001622235.3",3.81894581413871e-25,-0.353691589425805,0.447,0.556,6.31462690367835e-21,"CCND2","Cyclin_N/Cyclin_C/"
"96","Nvec_vc1.1_XM_001622273.3","Divergent","Nvec-vc1.1-XM-001622273.3",1.00089114106246e-44,1.95397983577609,0.085,0.023,1.65497350174678e-40,"EPHX1","EHN/"
"97","Nvec_vc1.1_XM_001622279.3","Nematostella-specific","Nvec-vc1.1-XM-001622279.3",1.01418486210662e-66,-1.31346167158049,0.107,0.246,1.67695466949329e-62,"ELOVL5","ELO/"
"98","Nvec_vc1.1_XM_001622282.3","Nematostella-specific","Nvec-vc1.1-XM-001622282.3",7.12108578175444e-14,-0.136861988287527,0.422,0.494,1.1774715340131e-09,"DDA1","DDA1/"
"99","Nvec_vc1.1_XM_001622293.3","Conserved","Nvec-vc1.1-XM-001622293.3",5.76739088544201e-24,-1.95501954307279,0.014,0.053,9.53638082907836e-20,"",""
"100","Nvec_vc1.1_XM_001622312.3","Conserved","Nvec-vc1.1-XM-001622312.3",1.19424981390275e-119,-2.2670356172516,0.057,0.226,1.97469206728819e-115,"","ShK/ShK/"
"101","Nvec_vc1.1_XM_001622371.3","Nematostella-specific","Nvec-vc1.1-XM-001622371.3",6.79625210705003e-44,-1.05656563458536,0.115,0.225,1.12376028590072e-39,"KCNAB1","Aldo_ket_red/"
"102","Nvec_vc1.1_XM_001622372.3","Conserved","Nvec-vc1.1-XM-001622372.3",5.25816062019529e-09,-0.701063427967171,0.047,0.079,8.69436858549291e-05,"EZH2","preSET_CXC/SET/"
"103","Nvec_vc1.1_XM_001622373.3","Nematostella-specific","Nvec-vc1.1-XM-001622373.3",5.9809728415951e-212,1.21480175989603,0.623,0.428,9.88953859357749e-208,"HSPA8","HSP70/"
"104","Nvec_vc1.1_XM_001622379.3","Nematostella-specific","Nvec-vc1.1-XM-001622379.3",8.58779953819295e-08,-0.960520293393556,0.014,0.03,0.0014199926536402,"","Pex26/"
"105","Nvec_vc1.1_XM_001622384.3","Nematostella-specific","Nvec-vc1.1-XM-001622384.3",2.93217862777034e-14,-0.64635388307301,0.086,0.138,4.84835736101825e-10,"TMEM138","TMEM138/"
"106","Nvec_vc1.1_XM_001622409.3","Conserved","Nvec-vc1.1-XM-001622409.3",6.3112766130328e-17,-0.467255530959764,0.212,0.291,1.04356958796497e-12,"",""
"107","Nvec_vc1.1_XM_001622411.3","Nematostella-specific","Nvec-vc1.1-XM-001622411.3",3.49620346559614e-76,-1.27590712210729,0.124,0.28,5.78097243036321e-72,"BOLA2","BolA/"
"108","Nvec_vc1.1_XM_001622420.3","Nematostella-specific","Nvec-vc1.1-XM-001622420.3",5.19105305557783e-18,-0.676010239875012,0.118,0.184,8.58340622739794e-14,"MRGBP","Eaf7/"
"109","Nvec_vc1.1_XM_001622433.3","Divergent","Nvec-vc1.1-XM-001622433.3",4.5045442041598e-143,-1.0350986590421,0.294,0.555,7.44826384157823e-139,"VBP1","Prefoldin/"
"110","Nvec_vc1.1_XM_001622437.3","Nematostella-specific","Nvec-vc1.1-XM-001622437.3",3.98255012120458e-78,1.72679223085914,0.178,0.06,6.58514662541178e-74,"","TUDOR_5/"
"111","Nvec_vc1.1_XM_001622443.3","Nematostella-specific","Nvec-vc1.1-XM-001622443.3",2.92413180240948e-58,-1.04185000753012,0.145,0.285,4.83505193528407e-54,"",""
"112","Nvec_vc1.1_XM_001622447.3","Nematostella-specific","Nvec-vc1.1-XM-001622447.3",1.1247361249702e-10,-0.553418405178217,0.096,0.142,1.85975118263822e-06,"NELFB","COBRA1/"
"113","Nvec_vc1.1_XM_001622450.2","Nematostella-specific","Nvec-vc1.1-XM-001622450.2",4.78845996769608e-07,-1.20264502998165,0.012,0.028,0.00791771855658547,"UXT","Prefoldin/"
"114","Nvec_vc1.1_XM_001622452.3","Conserved","Nvec-vc1.1-XM-001622452.3",0,5.97427987186847,0.446,0.021,0,"","Polysacc_deac_1/"
"115","Nvec_vc1.1_XM_001622471.3","Nematostella-specific","Nvec-vc1.1-XM-001622471.3",4.86401591522195e-83,-1.10153910109324,0.172,0.351,8.04265031581949e-79,"UBE2V2","UQ_con/"
"116","Nvec_vc1.1_XM_001622472.3","Nematostella-specific","Nvec-vc1.1-XM-001622472.3",2.42022042504961e-59,1.12701278446452,0.37,0.24,4.00183447281953e-55,"GADD45G",""
"117","Nvec_vc1.1_XM_001622499.3","Nematostella-specific","Nvec-vc1.1-XM-001622499.3",3.76167871519518e-86,-1.28936023243093,0.156,0.329,6.21993575557524e-82,"GMDS","GDP_Man_Dehyd/"
"118","Nvec_vc1.1_XM_001622535.3","Divergent","Nvec-vc1.1-XM-001622535.3",4.94987409148116e-30,-0.817351044317703,0.126,0.218,8.18461681026409e-26,"PXYLP1","His_Phos_2/His_Phos_2/"
"119","Nvec_vc1.1_XM_001622536.3","Divergent","Nvec-vc1.1-XM-001622536.3",2.98428308107535e-41,-1.16205215767102,0.086,0.182,4.93451207455809e-37,"LZIC","ICAT/"
"120","Nvec_vc1.1_XM_001622537.3","Nematostella-specific","Nvec-vc1.1-XM-001622537.3",3.1310198589354e-25,-3.68134151153267,0.005,0.034,5.17714133674968e-21,"P4HA1","P4Ha_N/2OG-FeII_Oxy_3/"
"121","Nvec_vc1.1_XM_001622555.3","Nematostella-specific","Nvec-vc1.1-XM-001622555.3",1.02673690906675e-90,-1.00829010981361,0.211,0.408,1.69770947914187e-86,"PFDN6","Prefoldin_2/"
"122","Nvec_vc1.1_XM_001622563.3","Divergent","Nvec-vc1.1-XM-001622563.3",1.18530385758613e-31,7.16419754316643,0.017,0,1.95989992851866e-27,"GPR161","7tm_1/"
"123","Nvec_vc1.1_XM_001622605.3","Nematostella-specific","Nvec-vc1.1-XM-001622605.3",4.30340315498214e-17,-0.466110489940639,0.158,0.228,7.11567711676297e-13,"CCDC105","Tektin/"
"124","Nvec_vc1.1_XM_001622630.3","Nematostella-specific","Nvec-vc1.1-XM-001622630.3",2.08891681804058e-26,-1.75109274009526,0.02,0.066,3.4540239586301e-22,"",""
"125","Nvec_vc1.1_XM_001622637.3","Nematostella-specific","Nvec-vc1.1-XM-001622637.3",4.68241417364492e-17,-3.90827006507543,0.002,0.019,7.74237183612187e-13,"","STELLO/"
"126","Nvec_vc1.1_XM_001622638.3","Conserved","Nvec-vc1.1-XM-001622638.3",2.1471139334771e-10,-0.721844082657273,0.061,0.099,3.55025288900438e-06,"HACD2","PTPLA/"
"127","Nvec_vc1.1_XM_001622646.3","Nematostella-specific","Nvec-vc1.1-XM-001622646.3",7.47513742654766e-59,0.224342776638084,0.999,0.997,1.23601397347966e-54,"RPS8","Ribosomal_S8e/"
"128","Nvec_vc1.1_XM_001622690.3","Divergent","Nvec-vc1.1-XM-001622690.3",3.87728747263213e-19,-3.85945781572248,0.002,0.022,6.41109483599722e-15,"","Phospholip_A2_3/"
"129","Nvec_vc1.1_XM_001622701.3","Nematostella-specific","Nvec-vc1.1-XM-001622701.3",1.84322902913112e-11,-0.213349458703892,0.425,0.498,3.04777919966831e-07,"TRAPPC3","TRAPP/"
"130","Nvec_vc1.1_XM_001622708.3","Nematostella-specific","Nvec-vc1.1-XM-001622708.3",6.57217405921575e-07,-0.116966209141458,0.383,0.432,0.0108670898069132,"TAF12","TFIID_20kDa/"
"131","Nvec_vc1.1_XM_001622759.3","Nematostella-specific","Nvec-vc1.1-XM-001622759.3",6.7099873401304e-09,-1.00113843779967,0.024,0.048,0.000110949640669056,"NIT2","CN_hydrolase/"
"132","Nvec_vc1.1_XM_001622813.3","Nematostella-specific","Nvec-vc1.1-XM-001622813.3",3.56547624181169e-30,-0.962034083914656,0.091,0.174,5.89551496583562e-26,"WDR92","WD40/"
"133","Nvec_vc1.1_XM_001622817.3","Divergent","Nvec-vc1.1-XM-001622817.3",6.24937220850426e-10,-0.828555263113092,0.042,0.074,1.03333369467618e-05,"SIDT1","SID-1_RNA_chan/SID-1_RNA_chan/"
"134","Nvec_vc1.1_XM_001622821.3","Nematostella-specific","Nvec-vc1.1-XM-001622821.3",3.07379733894638e-18,-0.538057359965678,0.176,0.253,5.08252389994784e-14,"GTF2E2","TFIIE_beta/TFA2_Winged_2/"
"135","Nvec_vc1.1_XM_001622843.3","Nematostella-specific","Nvec-vc1.1-XM-001622843.3",2.7998020380311e-13,0.110267440642287,0.708,0.722,4.62947266988442e-09,"CLTA","Clathrin_lg_ch/"
"136","Nvec_vc1.1_XM_001622844.3","Nematostella-specific","Nvec-vc1.1-XM-001622844.3",9.64176894217264e-17,-0.713116002384749,0.095,0.155,1.59426649458825e-12,"MRPS2","Ribosomal_S2/Ribosomal_S2/"
"137","Nvec_vc1.1_XM_001622850.3","Nematostella-specific","Nvec-vc1.1-XM-001622850.3",8.0489355743691e-60,-1.19398999639109,0.117,0.25,1.33089149722193e-55,"DNAJC19",""
"138","Nvec_vc1.1_XM_001622859.3","Conserved","Nvec-vc1.1-XM-001622859.3",1.86373927741952e-53,-0.969103486279212,0.164,0.3,3.08169289521318e-49,"RDH5","adh_short/"
"139","Nvec_vc1.1_XM_001622866.3","Nematostella-specific","Nvec-vc1.1-XM-001622866.3",5.7867744451465e-39,-0.470319934780034,0.403,0.54,9.56843154504974e-35,"PSMD6","RPN7/PCI/"
"140","Nvec_vc1.1_XM_001622867.3","Conserved","Nvec-vc1.1-XM-001622867.3",3.14435308875885e-20,3.81206921050337,0.015,0.001,5.19918783226275e-16,"TEK","IgGFc_binding/Ig_3/SEA/fn3/Pkinase_Tyr/"
"141","Nvec_vc1.1_XM_001622886.3","Nematostella-specific","Nvec-vc1.1-XM-001622886.3",3.5465447409744e-15,-0.571185356336836,0.144,0.208,5.86421172920117e-11,"RAP2B","Ras/"
"142","Nvec_vc1.1_XM_001622887.3","Divergent","Nvec-vc1.1-XM-001622887.3",3.77399713431542e-08,-0.26174885527935,0.253,0.307,0.000624030426159055,"CD151","Tetraspanin/"
"143","Nvec_vc1.1_XM_001622895.3","Conserved","Nvec-vc1.1-XM-001622895.3",2.07355407040373e-25,-0.771480268517276,0.126,0.209,3.42862165541257e-21,"AS3MT","Methyltransf_11/"
"144","Nvec_vc1.1_XM_001622915.3","Conserved","Nvec-vc1.1-XM-001622915.3",7.36360459544657e-31,-0.713805545712402,0.14,0.237,1.21757201985709e-26,"FZD4","Fz/Frizzled/"
"145","Nvec_vc1.1_XM_001622926.3","Nematostella-specific","Nvec-vc1.1-XM-001622926.3",5.97466370518866e-29,-1.02741341147638,0.069,0.143,9.87910643652945e-25,"PTPA","PTPA/"
"146","Nvec_vc1.1_XM_001622951.3","Nematostella-specific","Nvec-vc1.1-XM-001622951.3",3.57003027850129e-07,-1.79085400172346,0.005,0.016,0.00590304506550189,"GPR45","7tm_1/"
"147","Nvec_vc1.1_XM_001622960.3","Nematostella-specific","Nvec-vc1.1-XM-001622960.3",6.97011863812218e-95,-1.64266291953379,0.096,0.262,1.1525091168135e-90,"FAM166B","DUF2475/DUF2475/"
